"","status","family","pval","qval","gene_short_name","num_cells_expressed"
"AC108053.1","OK","negbinomial.size",0.00181571478277348,0.00482918261200142,"AC108053.1",62
"ARL5A","OK","negbinomial.size",0.00181647635501469,0.00483054441599386,"ARL5A",9192
"LINC02085","OK","negbinomial.size",0.00181809863865811,0.00483419441600344,"LINC02085",74
"AL731568.1","OK","negbinomial.size",0.00181905772577525,0.00483608026340222,"AL731568.1",175
"NAPG","OK","negbinomial.size",0.00182186670472929,0.00484288297218414,"NAPG",5382
"ALOX12-AS1","OK","negbinomial.size",0.00182446031451768,0.00484911139751732,"ALOX12-AS1",3088
"DCLRE1C","OK","negbinomial.size",0.00182812697293029,0.00485818970552054,"DCLRE1C",3190
"RMND1","OK","negbinomial.size",0.00183560441259419,0.00487739116191979,"RMND1",1471
"GSTM4","OK","negbinomial.size",0.00184213799587205,0.00489407976751239,"GSTM4",542
"AC010247.2","OK","negbinomial.size",0.00184254885799636,0.0048944995532092,"AC010247.2",438
"CT45A3","OK","negbinomial.size",0.00184352826432668,0.00489642928273483,"CT45A3",10
"TSC22D4","OK","negbinomial.size",0.00184469688993428,0.00489886098209053,"TSC22D4",6273
"FAM104A","OK","negbinomial.size",0.00184597834233312,0.00490159160117177,"FAM104A",2438
"MRPS11","OK","negbinomial.size",0.00184663855008571,0.0049026721182292,"MRPS11",3749
"PLK4","OK","negbinomial.size",0.00184853175830275,0.00490702540393122,"PLK4",122
"PTPN23","OK","negbinomial.size",0.00185025185035404,0.00491028834243209,"PTPN23",1718
"POC1B-AS1","OK","negbinomial.size",0.00185026828380946,0.00491028834243209,"POC1B-AS1",658
"NOTCH2NLB","OK","negbinomial.size",0.00185530880679063,0.00492299007169927,"NOTCH2NLB",10
"AC137932.2","OK","negbinomial.size",0.00185568477111792,0.00492331278982039,"AC137932.2",18
"PFKL","OK","negbinomial.size",0.00185980803574568,0.00493357601040552,"PFKL",5961
"WDR55","OK","negbinomial.size",0.00186279633827062,0.00494082607836454,"WDR55",2072
"CCDC58","OK","negbinomial.size",0.0018642613913975,0.00494403449147574,"CCDC58",557
"DENND1A","OK","negbinomial.size",0.00186552563455307,0.0049467095490471,"DENND1A",5467
"AL603840.1","OK","negbinomial.size",0.00186869882636074,0.0049544450324428,"AL603840.1",15
"CEBPA-DT","OK","negbinomial.size",0.00187398861520937,0.00496778932136509,"CEBPA-DT",171
"BOLA1","OK","negbinomial.size",0.00187449021046811,0.0049684385874341,"BOLA1",418
"AL031846.2","OK","negbinomial.size",0.00187512712574965,0.00496944629971742,"AL031846.2",375
"YWHAQ","OK","negbinomial.size",0.00187666362215563,0.00497215682097818,"YWHAQ",9923
"ARHGAP21","OK","negbinomial.size",0.00187648717397045,0.00497215682097818,"ARHGAP21",2360
"WARS2","OK","negbinomial.size",0.0018841117567228,0.00499120723619588,"WARS2",750
"TMED7","OK","negbinomial.size",0.00188511594838146,0.00499255524627748,"TMED7",7463
"MAP1LC3B2","OK","negbinomial.size",0.0018851364516734,0.00499255524627748,"MAP1LC3B2",966
"URB1-AS1","OK","negbinomial.size",0.00188818934280939,0.00499995637602756,"URB1-AS1",1133
"CPTP","OK","negbinomial.size",0.00189310580346659,0.00501228956882817,"CPTP",615
"AC010531.6","OK","negbinomial.size",0.00189441139479881,0.00501506036229766,"AC010531.6",45
"USP1","OK","negbinomial.size",0.00190348361658763,0.00503838812611607,"USP1",3545
"PANO1","OK","negbinomial.size",0.00190403360465679,0.00503915483802863,"PANO1",128
