"","Gene_Clusters"
"KLLN","1"
"SYK","2"
"FCGRT","3"
"RBM14","1"
"ZNF252P-AS1","1"
"GIHCG","1"
"ENTPD4","1"
"TMEM216","3"
"PDXK","3"
"AMFR","1"
"RPS15","3"
"COCH","2"
"PHACTR2","2"
"CC2D2B","2"
"CAND1","1"
"RBFA","1"
"FAM8A1","2"
"TSFM","3"
"NDUFA3","3"
"OGT","1"
"LAP3","3"
"AC011939.2","1"
"ASGR2","3"
"APOE","1"
"SEPTIN1","3"
"MT1X","3"
"ZNF667","1"
"SSBP3","3"
"HIBADH","3"
"TRGC1","1"
"ARAP1-AS2","2"
"ADPGK-AS1","1"
"TRIM8","1"
"HLA-DRB5","2"
"SETDB2","1"
"CLDN10","1"
"RSBN1L","1"
"NUP42","1"
"DLC1","1"
"C1orf50","3"
"PIK3R4","1"
"TBC1D12","2"
"AP2S1","3"
"TMEM268","2"
"TBRG4","1"
"GAS6-AS1","1"
"PRDX6","3"
"KRBA2","1"
"CPXM1","1"
"ANKRD18A","2"
"IFRD1","1"
"TNIP1","3"
"AC012485.3","1"
"ARHGAP33","1"
"EIF1AY","2"
"ROCK1","1"
"SRM","3"
"TBC1D16","1"
"COPRS","3"
"EGR3","1"
"HMGN4","3"
"CHID1","3"
"PEX10","3"
"KDM5D","1"
"TRADD","3"
"AC012414.3","2"
"TRAPPC3","3"
"COPS2","3"
"RBL1","1"
"AC079174.2","2"
"COX6C","3"
"C6orf226","3"
"SPAG7","3"
"HSPA5","2"
"ARHGEF40","1"
"SOX12","1"
"CLNK","2"
"TAF12","3"
"TMEM141","3"
"CDT1","1"
"ZNF711","1"
"WASHC1","1"
"HBD","1"
"ORM2","1"
"TCF20","2"
"ORAI3","3"
"CPLANE1","1"
"CSNK1G3","2"
"APMAP","1"
"ASPSCR1","1"
"FLYWCH1","1"
"AKAP1","1"
"TESPA1","1"
"WDR55","1"
"CNTLN","2"
"AC004847.1","2"
"PIK3R5","2"
"TTPAL","1"
"ANKMY2","1"
"IL2RG","1"
"RRP36","3"
"ARMH1","1"
"VNN3","1"
"ALKBH6","1"
"RANBP2","1"
"AP003696.1","2"
"GOLGA8A","1"
"AC103833.2","1"
"FAM157C","1"
"LINC02035","2"
