"","Gene_Clusters"
"ARHGAP21","2"
"STX1A","1"
"OLR1","1"
"SORBS3","3"
"LCN2","2"
"CD109","1"
"DYM","1"
"PERP","2"
"CNTNAP3","2"
"GATA1","2"
"AC104248.1","2"
"MC1R","2"
"ATP6AP2","3"
"AC073320.1","2"
"ANKLE2","2"
"SIGMAR1","3"
"HIST1H2AK","2"
"BRD2","2"
"TNFSF14","1"
"AC103833.2","2"
"OTUD1","3"
"SOX12","2"
"RPS15","3"
"CCL4L2","3"
"AC025300.1","1"
"AC090152.1","2"
"TRIOBP","1"
"CCDC84","1"
"C1QTNF3","2"
"C10orf25","1"
"NEU1","2"
"ETHE1","3"
"ING2","3"
"MT-ND1","2"
"AKT1","2"
"ATAD5","2"
"PUS1","2"
"USP9Y","1"
"AP4M1","2"
"ST13","3"
"RBBP7","2"
"RAB11FIP1","1"
"NUCKS1","1"
"CC2D2B","1"
"LINC01063","3"
"SEPTIN5","1"
"FAM110B","2"
"VCX","1"
"NOM1","2"
"FKBP1A","3"
"GPD2","1"
"SAMSN1","1"
"AURKB","2"
"LZTR1","2"
"PPIB","3"
"SETDB2","2"
"CELF1","1"
"KCNE3","3"
"TP73","1"
"IFRD1","2"
"RNF181","3"
"UROD","3"
"AC007952.4","2"
"UCK2","2"
"EIF1AY","1"
"ATP6V0D1","3"
"POLR2I","3"
"CDT1","2"
"AL353135.1","1"
"EIF1AX","3"
"ZNF252P-AS1","2"
"HDAC6","2"
"MRFAP1","3"
"NUP42","2"
"KLLN","2"
"ALKBH6","2"
"OGT","2"
"ORAI3","3"
"AP2S1","3"
"RSBN1L","2"
"NONO","1"
"IL2RG","1"
"GPR107","1"
"LY86","3"
"HLA-DRB5","1"
"MRPL34","3"
"NCK1-DT","2"
"CPLANE1","2"
"ANKRD18A","1"
"DPP3","3"
"SYK","1"
"EHBP1L1","2"
"RFLNB","1"
"ARMH1","2"
"AL135791.1","2"
"SERPINI1","2"
"MPPE1","1"
"CA2","2"
"C1RL-AS1","2"
"AC133919.2","1"
"HBM","2"
"COLEC12","2"
"ZNF667","2"
"TMEM141","3"
"MPHOSPH6","3"
"RBM14","2"
"COL14A1","2"
"PRNP","3"
"KIAA0895","2"
"IQGAP2","3"
"GLTP","3"
"IL17RA","1"
"SAT2","3"
"ROCK1","1"
"TARBP2","2"
"GZMM","2"
"REXO4","2"
"AVPR1A","2"
"SPNS1","1"
"ARHGAP33","2"
"HSPB11","3"
