"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SH3BGRL",1.88962205408169e-10,0.256731673692391,0.583,0.484,4.01620271374522e-06,"3","SH3BGRL"
"CAPZB",2.16465194259564e-10,0.264527198509789,0.616,0.529,4.60075123879278e-06,"3","CAPZB"
"PTP4A21",2.66013181933364e-10,0.262487813241716,0.746,0.689,5.65384416881172e-06,"3","PTP4A2"
"DNAJC8",2.91097291730701e-10,0.279591005129497,0.532,0.429,6.18698183844432e-06,"3","DNAJC8"
"CCND3",8.70065111082697e-10,0.274941315238929,0.591,0.494,1.84923638709516e-05,"3","CCND3"
"TAPBP",9.35018232258876e-10,0.258667097472903,0.583,0.486,1.98728775084302e-05,"3","TAPBP"
"CCL3L11",1.47471504129217e-09,0.302323759136642,0.29,0.187,3.13435934876238e-05,"3","CCL3L1"
"DUSP11",2.27401970929414e-08,0.308301507898961,0.962,0.94,0.000483320149013377,"3","DUSP1"
"GADD45B1",6.51232089980243e-08,0.3025351231171,0.807,0.767,0.00138412868404401,"3","GADD45B"
"LY6E",4.7733605194113e-07,0.282571705499366,0.58,0.515,0.0101453004479568,"3","LY6E"
"BTG21",1.04999561968964e-05,0.259936902922715,0.797,0.763,0.223166069008837,"3","BTG2"
"MT2A1",0.00013394674809851,0.25073704703041,0.473,0.409,1,"3","MT2A"
"PPP1R15A",0.000301962833502554,0.266935981351997,0.822,0.842,1,"3","PPP1R15A"
"PPBP",0,3.00976398487043,0.924,0.073,0,"4","PPBP"
"NRGN",0,2.53371556427431,0.943,0.06,0,"4","NRGN"
"PF4",0,2.35534332011237,0.89,0.044,0,"4","PF4"
"GP1BB",0,2.33437042839558,0.867,0.038,0,"4","GP1BB"
"RGS18",0,1.80014555080265,0.595,0.041,0,"4","RGS18"
"CAVIN2",0,1.74962921714445,0.786,0.034,0,"4","CAVIN2"
"TUBB1",0,1.71129987775753,0.8,0.018,0,"4","TUBB1"
"GNG11",0,1.57865239874942,0.757,0.029,0,"4","GNG11"
"CLU",0,1.33490561661873,0.619,0.034,0,"4","CLU"
"PRKAR2B",0,0.987701101958235,0.51,0.017,0,"4","PRKAR2B"
"GP9",0,0.816761030770852,0.329,0.004,0,"4","GP9"
"ACRBP",0,0.788234105295534,0.362,0.009,0,"4","ACRBP"
"SPARC",0,0.718755630803091,0.405,0.018,0,"4","SPARC"
"MYL9",0,0.678986503042573,0.376,0.009,0,"4","MYL9"
"TREML1",0,0.625778491796793,0.352,0.005,0,"4","TREML1"
"PF4V1",0,0.61053581319368,0.257,0.006,0,"4","PF4V1"
"MPIG6B",0,0.430715193069905,0.286,0.006,0,"4","MPIG6B"
"F13A1",1.46373135253202e-263,0.605232272215141,0.376,0.02,3.11101461667156e-259,"4","F13A1"
"MAP3K7CL",8.85761326970455e-217,0.765584393921657,0.414,0.03,1.882597124343e-212,"4","MAP3K7CL"
"NCOA41",5.45237658314363e-101,1.06888725493225,0.648,0.151,1.15884811898135e-96,"4","NCOA4"
"HIST1H2AC1",2.90104708811619e-97,1.07867396353125,0.629,0.144,6.16588548108216e-93,"4","HIST1H2AC"
"PGRMC1",9.33137220049325e-72,0.641619650578088,0.41,0.081,1.98328984749284e-67,"4","PGRMC1"
"LIMS1",2.52503562180504e-55,0.914934193293476,0.614,0.208,5.36671071058444e-51,"4","LIMS1"
"RUFY1",1.69238282771513e-54,0.427614132670531,0.338,0.067,3.59699046202573e-50,"4","RUFY1"
