"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007599","GO:0007599","hemostasis","24/408","230/18614",2.75851534024483e-10,1.75682945731843e-08,1.28624851802534e-08,"5341/2316/60/1192/10627/7094/4627/2207/4067/2149/71/7294/5478/5196/2812/81027/2815/10398/340205/80739/2162/7414/83706/2778",24
"GO:0060326","GO:0060326","cell chemotaxis","28/408","312/18614",3.03522987109262e-10,1.90332260839592e-08,1.39350229709272e-08,"6352/6351/3689/6846/22914/7114/5479/301/1843/3146/811/5880/6348/51411/7852/2207/1524/4067/57580/101/682/5594/5478/6349/5473/5196/5197/9750",28
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen","14/408","71/18614",3.65985691591319e-10,2.22650399839734e-08,1.63011694526534e-08,"3107/3106/3105/567/3115/3133/3113/3123/3134/2923/811/2207/1509/6892",14
"GO:0072678","GO:0072678","T cell migration","14/408","71/18614",3.65985691591319e-10,2.22650399839734e-08,1.63011694526534e-08,"6352/6846/4267/4478/3683/3676/58515/387/6348/101/6693/3695/7535/9750",14
"GO:0019882","GO:0019882","antigen processing and presentation","17/408","114/18614",4.75715973854938e-10,2.85149751387166e-08,2.08770090693305e-08,"3107/3106/3105/567/925/3115/3133/3113/3123/3134/2923/5720/51762/811/2207/1509/6892",17
"GO:0071621","GO:0071621","granulocyte chemotaxis","18/408","131/18614",5.77918802405893e-10,3.41390875160351e-08,2.4994657586891e-08,"6352/6351/3689/6846/5479/301/5880/6348/2207/57580/682/5594/5478/6349/5473/5196/5197/9750",18
"GO:0030217","GO:0030217","T cell differentiation","27/408","300/18614",5.96501135768114e-10,3.47334089912976e-08,2.54297852616933e-08,"3458/567/864/5788/925/60/5295/3561/4092/30009/3123/301/3659/3146/22806/6095/639/22890/387/2207/7704/57580/101/6693/7535/27166/3726",27
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","22/408","201/18614",6.22530471209723e-10,3.57385098683215e-08,2.61656617624843e-08,"28526/3105/919/6967/975/5788/925/3115/3123/2534/4792/11126/11314/4067/10666/9473/5594/7294/7535/28639/8631/11118",22
"GO:0031349","GO:0031349","positive regulation of defense response","33/408","441/18614",8.87428343229433e-10,5.02383045417107e-08,3.67815694891147e-08,"6352/4818/3824/3458/1535/7305/3956/975/22914/149628/3133/1075/259197/3320/3134/3659/2534/3146/4792/6348/117157/3823/11126/11314/121260/241/4067/10666/101/7294/1051/3916/8673",33
"GO:0002717","GO:0002717","positive regulation of natural killer cell mediated immunity","10/408","32/18614",9.62073043033616e-10,5.37179414165071e-08,3.93291575630901e-08,"3824/22914/3133/259197/3134/117157/3823/11126/10666/3916",10
"GO:0002253","GO:0002253","activation of immune response","35/408","495/18614",1.21341340828921e-09,6.68361223268489e-08,4.89335279160727e-08,"3824/28526/1535/3105/7305/919/6967/975/5788/925/22914/149628/3115/259197/3123/3320/3659/2534/3146/4792/2207/3823/11126/11314/121260/4067/10666/9473/5594/7294/7535/28639/8631/11118/1191",35
"GO:0002757","GO:0002757","immune response-activating signaling pathway","32/408","423/18614",1.23270526256162e-09,6.69544660633612e-08,4.90201723282963e-08,"3824/28526/1535/3105/7305/919/6967/975/5788/925/22914/3115/259197/3123/3659/2534/3146/4792/2207/3823/11126/11314/121260/4067/10666/9473/5594/7294/7535/28639/8631/11118",32
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","25/408","268/18614",1.24841497075943e-09,6.69544660633612e-08,4.90201723282963e-08,"6352/3105/2214/7305/975/5788/3115/3133/3113/3123/301/3659/3146/7133/2950/22806/5880/58515/11314/4067/5594/6693/684/1051/7535",25
"GO:0002764","GO:0002764","immune response-regulating signaling pathway","33/408","450/18614",1.48022458319245e-09,7.77610501763605e-08,5.69321257295548e-08,"3824/28526/1535/3105/2214/7305/919/6967/975/5788/925/22914/3115/259197/3123/3659/2534/3146/4792/2207/3823/11126/11314/121260/4067/10666/9473/5594/7294/7535/28639/8631/11118",33
"GO:0030593","GO:0030593","neutrophil chemotaxis","16/408","107/18614",1.48806720160847e-09,7.77610501763605e-08,5.69321257295548e-08,"6352/6351/3689/6846/5479/5880/6348/2207/57580/682/5478/6349/5473/5196/5197/9750",16
"GO:0034341","GO:0034341","response to type II interferon","18/408","139/18614",1.5403543849523e-09,7.94744870008302e-08,5.81866046814094e-08,"6352/6351/10581/3458/6846/3113/2597/3716/3659/8519/6348/71/7294/684/10410/998/10097/6349",18
