"source","target","pathway_name","prob","pval"
"Natural killer cells","FCAR+ Macrophage cells","CD48",2.04695387909811e-06,0
"Natural killer cells","FCAR+ Macrophage cells","CD99",0.0109211448668402,0
"Natural killer cells","FCAR+ Macrophage cells","CDH",3.83153230478716e-10,0
"Natural killer cells","FCAR+ Macrophage cells","EPHA",1.72250780565213e-08,0
"Natural killer cells","FCAR+ Macrophage cells","EPHB",2.07591250254201e-08,0
"Natural killer cells","FCAR+ Macrophage cells","GP1BA",1.19104685613977e-05,0
"Natural killer cells","FCAR+ Macrophage cells","MHC-I",0.00829290698778885,0
"Natural killer cells","FCAR+ Macrophage cells","SEMA4",0.000169635686334139,0
"Natural killer cells","FCGR3A+ Macrophage cells","APP",2.37168651836885e-07,0.02
"Natural killer cells","FCGR3A+ Macrophage cells","CD22",1.02045427507231e-06,0
"Natural killer cells","FCGR3A+ Macrophage cells","CD48",2.24354949389554e-07,0
"Natural killer cells","FCGR3A+ Macrophage cells","CD99",0.00138929266970974,0
"Natural killer cells","FCGR3A+ Macrophage cells","CDH",2.56483275132609e-11,0
"Natural killer cells","FCGR3A+ Macrophage cells","EPHA",9.90244357609197e-10,0
"Natural killer cells","FCGR3A+ Macrophage cells","EPHB",3.88162805470407e-11,0
"Natural killer cells","FCGR3A+ Macrophage cells","ICAM",0.000194615103863801,0.005
"Natural killer cells","FCGR3A+ Macrophage cells","ITGB2",0.000363166966605299,0
"Natural killer cells","FCGR3A+ Macrophage cells","MHC-I",0.00226564736024558,0
"Natural killer cells","FCGR3A+ Macrophage cells","MHC-II",0.000483884809314189,0
"Natural killer cells","FCGR3A+ Macrophage cells","MPZ",4.49556435854979e-10,0
"Natural killer cells","FCGR3A+ Macrophage cells","NOTCH",9.67709731600272e-08,0
"Natural killer cells","FCGR3A+ Macrophage cells","SEMA4",3.6669856335167e-05,0
"Natural killer cells","Natural killer cells","ALCAM",7.53172558722433e-05,0
"Natural killer cells","Natural killer cells","CD22",6.83975568076407e-06,0
"Natural killer cells","Natural killer cells","CD45",6.83975568076407e-06,0
"Natural killer cells","Natural killer cells","CD6",7.53172558722433e-05,0
"Natural killer cells","Natural killer cells","CD99",0.0118493805045557,0
"Natural killer cells","Natural killer cells","CDH",2.52961776343573e-10,0
"Natural killer cells","Natural killer cells","CLEC",0.0188872857411263,0
"Natural killer cells","Natural killer cells","EPHA",3.22783755557334e-09,0
"Natural killer cells","Natural killer cells","LCK",0.000211022255147326,0
"Natural killer cells","Natural killer cells","MHC-I",0.0540321604978151,0.000833333333333333
