"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"FCAR+ Macrophage cells","Natural killer cells","EFNA2","EPHA2",1.09742657391105e-09,0,"EFNA2_EPHA2","EFNA2 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"FCGR3A+ Macrophage cells","Natural killer cells","EFNA2","EPHA2",7.38471966328796e-11,0,"EFNA2_EPHA2","EFNA2 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"Natural killer cells","Natural killer cells","EFNA2","EPHA2",1.07557036656552e-09,0,"EFNA2_EPHA2","EFNA2 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"Natural killer cells","FCAR+ Macrophage cells","EFNA2","EPHA4",1.2769245910074e-10,0,"EFNA2_EPHA4","EFNA2 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","EFNA2","EPHA4",1.01855604740646e-11,0,"EFNA2_EPHA4","EFNA2 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","EFNA2","EPHA4",6.85399009937198e-13,0,"EFNA2_EPHA4","EFNA2 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"Natural killer cells","FCGR3A+ Macrophage cells","EFNA2","EPHA4",9.98270617637082e-12,0,"EFNA2_EPHA4","EFNA2 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"FCAR+ Macrophage cells","Natural killer cells","EFNA2","EPHA4",9.38640913954905e-11,0,"EFNA2_EPHA4","EFNA2 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"Natural killer cells","Natural killer cells","EFNA2","EPHA4",9.19947063605796e-11,0,"EFNA2_EPHA4","EFNA2 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"Natural killer cells","FCAR+ Macrophage cells","EFNA4","EPHA2",6.62659283713698e-10,0,"EFNA4_EPHA2","EFNA4 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"Natural killer cells","FCGR3A+ Macrophage cells","EFNA4","EPHA2",4.36694643508664e-11,0,"EFNA4_EPHA2","EFNA4 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"FCAR+ Macrophage cells","Natural killer cells","EFNA4","EPHA2",8.19265007063166e-10,0,"EFNA4_EPHA2","EFNA4 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"FCGR3A+ Macrophage cells","Natural killer cells","EFNA4","EPHA2",5.17169692413186e-11,0,"EFNA4_EPHA2","EFNA4 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"Natural killer cells","Natural killer cells","EFNA4","EPHA2",6.73837444530492e-10,0,"EFNA4_EPHA2","EFNA4 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"Natural killer cells","FCAR+ Macrophage cells","EFNA4","EPHA4",7.99984480607369e-11,0,"EFNA4_EPHA4","EFNA4 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","EFNA4","EPHA4",7.60385565884473e-12,0,"EFNA4_EPHA4","EFNA4 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","EFNA4","EPHA4",4.80001422965461e-13,0,"EFNA4_EPHA4","EFNA4 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"Natural killer cells","FCGR3A+ Macrophage cells","EFNA4","EPHA4",6.25409681365229e-12,0,"EFNA4_EPHA4","EFNA4 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"FCAR+ Macrophage cells","Natural killer cells","EFNA4","EPHA4",7.00726292216324e-11,0,"EFNA4_EPHA4","EFNA4 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"Natural killer cells","Natural killer cells","EFNA4","EPHA4",5.76340513029652e-11,0,"EFNA4_EPHA4","EFNA4 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"Natural killer cells","FCAR+ Macrophage cells","EFNA5","EPHA2",7.69256681730096e-10,0,"EFNA5_EPHA2","EFNA5 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
