"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MAFB1",1.1438637143154e-144,0.746355862691103,0.961,0.748,2.64426974838291e-140,"3","MAFB"
"RAB10",2.43528241541483e-144,0.642845745592774,0.721,0.423,5.62964235971445e-140,"3","RAB10"
"TMEM134",8.83611539922893e-144,0.414412639285845,0.444,0.169,2.04264479683975e-139,"3","TMEM134"
"CEBPB1",8.47787692221172e-143,0.575464718089371,0.985,0.89,1.95983080810768e-138,"3","CEBPB"
"STXBP21",1.51593153868611e-142,0.722863695045645,0.945,0.818,3.50437893798068e-138,"3","STXBP2"
"ITGA41",1.76944901956694e-141,0.632186736113126,0.845,0.618,4.0904352985329e-137,"3","ITGA4"
"TMC6",1.96020698761133e-141,0.500113474600254,0.5,0.213,4.53141049326111e-137,"3","TMC6"
"HOTAIRM1",5.92049329031673e-141,0.58879474532878,0.709,0.397,1.36864043392252e-136,"3","HOTAIRM1"
"GBP1",9.83797867308267e-141,0.42536133116553,0.319,0.097,2.27424552985652e-136,"3","GBP1"
"PTPRC1",1.7757612838811e-138,0.608454854230305,0.995,0.97,4.10502735994794e-134,"3","PTPRC"
"TXNIP",1.7336865069105e-136,0.804981133219854,0.97,0.898,4.007763098025e-132,"3","TXNIP"
"CAPZB",1.17227876861429e-135,0.517816839566593,0.958,0.882,2.70995682940565e-131,"3","CAPZB"
"UTRN",7.68923079996903e-135,0.666736352846353,0.761,0.482,1.77751948402884e-130,"3","UTRN"
"KDM1B",6.83232675587344e-134,0.562544295781819,0.629,0.324,1.57942897615526e-129,"3","KDM1B"
"SNN",1.0188294071355e-133,0.489519740027418,0.56,0.263,2.35522794047513e-129,"3","SNN"
"CMTM6",7.60179712446068e-133,0.615592721704435,0.93,0.845,1.75730744126157e-128,"3","CMTM6"
"FAM49A",5.45483898304751e-132,0.521822931215297,0.584,0.284,1.26099512771109e-127,"3","FAM49A"
"LGALS9",1.21148593628572e-130,0.588662049566396,0.829,0.619,2.80059203891171e-126,"3","LGALS9"
"PSME1",4.18661146232597e-130,0.535335533076994,0.985,0.946,9.67818971745894e-126,"3","PSME1"
"ISG151",4.84094579632647e-127,0.736638052184314,0.724,0.446,1.11908143973679e-122,"3","ISG15"
"MYD88",8.32102172232896e-127,0.520531913376366,0.709,0.405,1.92357059155078e-122,"3","MYD88"
"MYOF",4.2078038557052e-126,0.418226719595828,0.44,0.177,9.72718017323371e-122,"3","MYOF"
"RBX1",7.26558987056036e-126,0.526949717860764,0.886,0.706,1.67958641037744e-121,"3","RBX1"
"ADGRE2",1.3630013634153e-124,0.482403459976983,0.561,0.266,3.15085025180715e-120,"3","ADGRE2"
"GCH1",1.85582862975319e-124,0.439163167984614,0.547,0.25,4.29011904340045e-120,"3","GCH1"
"RPL81",2.12874047810418e-124,0.452786357678498,1,1,4.92100936323343e-120,"3","RPL8"
"ITM2B1",7.35659207819643e-124,0.473331467578587,0.998,0.991,1.70062339071667e-119,"3","ITM2B"
"SPATA6",4.05518257397114e-123,0.319491680824151,0.267,0.079,9.37436555624908e-119,"3","SPATA6"
"ANXA51",5.25393928656231e-122,0.590200090513846,0.921,0.849,1.21455314487461e-117,"3","ANXA5"
"ARAP2",5.3894427110087e-121,0.440382553133183,0.45,0.189,1.24587747150388e-116,"3","ARAP2"
"DOK2",9.31948457632108e-120,0.566090618354108,0.665,0.376,2.15438524950814e-115,"3","DOK2"
